Estación,Título,latitud,longitud,Fecha,Periodo,xx1,xx2,xx3
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,14,19,7,34
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,13,4,7,81
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,12,19,5,136
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,11,12,6,106
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,10,12,5,52
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,9,4,7,125
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,8,11,5,156
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,7,0,5,78
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,6,9,6,53
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,5,17,6,154
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,4,19,6,70
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,3,15,7,109
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,2,4,6,87
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,1,12,6,31
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,24,9,5,153
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,23,18,5,148
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,22,5,6,94
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,21,11,7,140
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,20,10,5,75
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,19,3,6,81
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,18,16,7,30
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,17,7,7,53
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,16,0,7,62
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,15,9,5,131
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,14,12,7,40
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,13,5,5,18
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,12,18,7,50
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,11,15,7,86
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,10,19,5,156
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,9,11,7,51
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,8,14,5,82
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,7,2,6,125
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,6,0,6,92
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,5,12,6,30
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,4,17,7,66
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,3,3,6,54
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,2,10,7,153
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-08,1,5,5,59
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,24,12,5,50
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,23,16,7,27
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,22,18,5,157
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,21,1,6,110
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,20,9,6,133
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,19,17,6,25
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,18,1,7,61
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,17,14,6,54
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,16,4,5,42
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,15,19,7,17
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,14,13,7,61
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,13,6,5,68
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,12,5,7,129
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,11,16,5,112
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,10,11,5,30
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,9,3,7,33
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,8,0,5,47
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,7,3,7,82
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,6,16,6,147
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,5,5,5,43
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,4,17,6,59
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,3,6,6,30
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,2,13,5,68
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-07,1,9,7,19
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,24,3,5,117
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,23,5,5,18
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,22,12,7,103
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,21,11,5,97
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,20,11,5,66
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,19,17,5,20
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,18,4,7,24
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,17,19,7,109
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,16,13,5,104
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,15,14,5,27
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,14,3,6,32
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,13,3,6,47
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,12,4,7,137
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,11,2,5,79
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,10,0,5,94
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,9,0,7,95
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,8,6,5,90
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,7,13,7,19
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,6,7,7,116
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,5,9,7,41
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,4,13,5,57
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,3,4,7,142
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,2,4,5,77
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-06,1,18,7,124
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,24,0,5,22
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,23,11,5,60
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,22,4,7,86
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,21,5,6,59
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,20,19,6,128
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,19,14,7,114
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,18,11,7,77
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,17,11,5,151
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,16,7,5,93
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,15,6,6,120
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,14,15,7,91
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,13,8,7,74
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,12,3,5,22
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,11,3,6,96
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,10,17,7,134
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,9,0,5,150
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,8,8,6,120
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,7,13,6,75
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,6,5,6,125
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,5,19,5,157
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,4,7,5,148
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,3,19,6,157
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,2,5,5,140
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-05,1,11,7,43
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,24,11,5,88
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,23,0,7,80
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,22,19,7,120
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,21,6,6,68
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,20,18,5,47
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,19,18,6,155
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,18,8,5,65
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,17,7,7,42
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,16,4,7,148
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,15,5,7,117
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,14,3,6,25
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,13,14,5,125
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,12,12,5,89
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,11,7,6,137
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,10,19,5,99
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,9,3,5,38
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,8,13,5,123
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,7,10,5,50
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,6,14,5,141
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,5,16,7,116
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,4,13,7,126
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,3,9,7,42
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,2,7,6,17
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-04,1,6,6,47
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,24,17,5,101
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,23,5,5,112
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,22,9,5,97
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,21,2,5,101
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,20,1,7,114
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,19,4,5,74
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,18,19,5,65
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,17,19,5,150
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,16,9,7,106
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,15,16,6,136
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,14,19,5,66
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,13,14,7,46
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,12,17,5,61
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,11,12,5,49
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,10,8,6,147
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,9,9,6,103
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,8,17,6,108
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,7,12,6,50
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,6,18,6,128
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,5,4,6,63
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,4,10,5,153
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,3,8,7,29
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,2,13,7,73
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-03,1,3,5,145
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,24,10,5,38
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,23,3,7,55
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,22,19,7,97
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,21,0,6,70
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,20,1,6,131
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,19,14,5,67
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,18,2,7,41
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,17,10,7,45
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,16,10,6,70
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,15,13,5,144
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,14,18,6,46
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,13,5,6,82
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,12,7,6,63
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,11,15,6,103
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,10,18,7,139
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,9,7,6,142
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,8,2,5,48
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,7,5,5,49
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,6,5,6,68
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,5,0,6,120
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,4,11,7,148
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,3,8,6,77
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,2,15,5,114
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-02,1,5,7,93
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,24,0,5,51
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,23,12,6,121
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,22,2,6,109
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,21,18,6,70
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,20,14,7,22
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,19,3,7,35
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,18,2,6,65
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,17,3,6,93
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,16,16,6,36
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,15,16,5,65
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,14,7,6,88
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,13,5,5,18
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,12,14,5,83
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,11,16,6,94
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,10,16,5,94
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,9,2,7,71
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,8,12,5,32
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,7,19,7,103
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,6,19,7,39
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,5,8,7,110
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,4,15,7,144
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,3,4,6,109
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,2,16,7,21
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-01,1,17,7,105
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,24,16,6,157
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,23,14,5,113
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,22,14,7,90
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,21,19,5,146
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,20,10,7,78
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,19,13,6,136
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,18,8,7,157
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,17,17,6,101
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,16,0,5,73
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,15,14,6,129
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,14,18,5,37
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,13,4,6,71
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,12,5,7,128
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,11,8,5,18
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,10,6,7,41
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,9,4,7,123
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,8,17,7,150
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,7,2,7,107
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,6,19,7,41
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,5,9,6,135
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,4,6,5,24
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,3,6,7,61
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,2,17,7,74
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-30,1,19,7,130
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,24,14,5,155
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,23,6,5,65
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,22,2,7,24
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,21,3,5,146
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,20,16,7,85
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,19,15,7,130
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,18,0,5,59
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,17,10,6,59
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,16,3,5,121
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,15,13,7,92
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,14,13,7,55
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,13,4,5,21
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,12,19,6,120
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,11,17,7,149
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,10,8,6,48
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,9,4,6,111
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,8,9,7,132
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,7,15,7,122
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,6,13,5,55
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,5,4,7,55
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,4,17,6,45
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,3,16,7,150
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,2,12,5,24
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-29,1,16,7,77
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,24,4,6,40
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,23,16,5,19
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,22,7,5,105
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,21,9,5,27
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,20,17,7,96
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,19,16,5,144
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,18,13,5,118
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,17,10,6,152
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,16,0,5,52
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,15,19,7,90
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,14,11,6,38
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,13,12,5,99
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,12,18,7,82
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,11,0,7,97
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,10,15,6,119
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,9,16,6,118
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,8,16,7,119
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,7,19,5,110
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,6,6,5,87
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,5,16,5,107
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,4,3,6,150
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,3,0,7,52
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,2,11,7,25
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-28,1,9,5,153
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,24,0,6,126
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,23,7,6,29
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,22,5,6,51
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,21,3,6,123
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,20,5,5,103
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,19,15,6,34
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,18,11,6,58
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,17,2,7,157
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,16,12,6,23
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,15,13,6,107
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,14,11,5,90
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,13,16,7,102
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,12,19,6,57
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,11,18,7,34
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,10,12,5,124
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,9,10,5,137
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,8,7,6,47
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,7,15,7,49
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,6,7,6,124
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,5,8,6,48
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,4,8,5,131
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,3,16,6,139
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,2,19,6,64
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-27,1,1,7,105
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-26,24,11,7,144
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-26,23,17,7,99
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-26,22,8,5,71
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-26,21,13,6,145
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-26,20,16,6,60
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-26,19,4,7,75
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-26,18,15,5,139
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-26,17,16,5,108
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-26,16,1,6,71
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-26,15,8,7,100
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-26,14,18,7,144
1,Estación Avenida Constitución,43.529806,-5.673428,2020-11-26,13,6,5,139
